 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  31   1     0.06  -0.14  -0.04     0.04   0.17   0.08     0.02   0.01  -0.02
  32   1     0.01  -0.01  -0.03     0.04  -0.01  -0.11    -0.02   0.01  -0.05
  33   1     0.04   0.01  -0.04    -0.08  -0.11  -0.02     0.02  -0.01  -0.02
  34   1     0.00   0.05  -0.03     0.07   0.07  -0.06     0.04   0.12  -0.02
  35   1     0.02  -0.05  -0.05     0.01  -0.04  -0.14     0.02   0.01  -0.07
  36   1    -0.08  -0.09   0.06    -0.04  -0.08   0.02    -0.08  -0.03   0.07
  37   1    -0.04   0.00   0.12    -0.04   0.01   0.05    -0.05   0.07   0.12
  38   1    -0.04  -0.06   0.05    -0.05  -0.04   0.03    -0.05  -0.09   0.06
  39   1    -0.05   0.03   0.07    -0.04   0.03   0.06    -0.05   0.03   0.10
  40   1     0.05  -0.04  -0.07     0.04  -0.03  -0.08    -0.05  -0.01  -0.16
  41   1     0.04   0.02  -0.02     0.02   0.02   0.01    -0.06  -0.03  -0.08
  42   1     0.07   0.07  -0.03     0.08   0.06  -0.02    -0.00   0.12  -0.09
                     13                     14                     15
                        a                      a                      a 
 Frequencies --   149.9921               166.1158               213.3348
 Red. masses --     9.7697                 8.1878                 8.4333
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --    11.8310                 0.6007                 1.7249
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   7     0.01  -0.16   0.42    -0.02  -0.01  -0.13     0.11   0.03   0.00
   2   6    -0.15  -0.22  -0.20    -0.14   0.01   0.11     0.05   0.01  -0.15
   3   6    -0.14  -0.14  -0.06    -0.20   0.18   0.11     0.11   0.01   0.05
   4   6    -0.00   0.09  -0.10     0.00  -0.15   0.26     0.15  -0.00   0.07
   5   6     0.03   0.18   0.08    -0.12  -0.01   0.06     0.12   0.02   0.10
   6   6     0.06  -0.05  -0.12     0.07  -0.09  -0.30     0.09  -0.06   0.06
   7   6     0.09  -0.16  -0.22     0.01   0.13  -0.23     0.03  -0.11  -0.06
   8   6     0.07   0.14   0.05    -0.03   0.31  -0.01    -0.00   0.00   0.01
   9   6     0.10   0.02  -0.03     0.10   0.06   0.03    -0.08   0.23   0.17
  10   6     0.09   0.05   0.02    -0.04  -0.14   0.14    -0.11  -0.15  -0.11
  11   6     0.04   0.03   0.09     0.06  -0.10  -0.06    -0.35  -0.18  -0.20
  12   6     0.05  -0.02   0.04     0.09  -0.06  -0.07    -0.30   0.06  -0.13
  13   6    -0.04  -0.04  -0.00     0.12  -0.09   0.10     0.21   0.11   0.17
  14  17    -0.13   0.20  -0.01     0.05  -0.02  -0.02    -0.05  -0.00  -0.02
  15   1    -0.01  -0.05   0.07     0.01  -0.03  -0.01     0.01  -0.00  -0.09
  16   1    -0.05   0.06   0.20     0.03  -0.02  -0.07    -0.04   0.04   0.09
  17   1     0.09  -0.11   0.18    -0.03   0.03  -0.06     0.13  -0.01   0.04
  18   1    -0.14   0.02  -0.13    -0.04  -0.04   0.05    -0.05   0.02  -0.08
  19   1     0.00  -0.18  -0.15    -0.05   0.02   0.05     0.06  -0.03  -0.10
  20   1    -0.05  -0.06  -0.02    -0.06   0.16   0.08     0.01  -0.01   0.03
  21   1    -0.05  -0.04   0.02    -0.13   0.06  -0.06     0.04   0.00   0.02
  22   1     0.01   0.06  -0.03    -0.01  -0.16   0.04     0.04  -0.01   0.02
  23   1    -0.01   0.03  -0.07     0.08  -0.04   0.17     0.05  -0.00   0.03
  24   1     0.02   0.04   0.11    -0.04  -0.01   0.07     0.04   0.00   0.05
  25   1    -0.00   0.14   0.01    -0.10   0.04  -0.00     0.04   0.03   0.03
  26   1    -0.02  -0.01  -0.06     0.05  -0.02  -0.18     0.01  -0.02   0.02
  27   1     0.06  -0.03  -0.02     0.05  -0.12  -0.06     0.05  -0.01   0.02
  28   1     0.01  -0.04  -0.16    -0.05   0.04  -0.08     0.00  -0.03  -0.06
  29   1     0.05  -0.14  -0.04     0.04   0.03  -0.06     0.01  -0.07  -0.01
  30   1     0.03   0.03   0.11    -0.02   0.08   0.08     0.04   0.01  -0.03
  31   1    -0.01   0.14  -0.01    -0.04   0.17  -0.02    -0.04  -0.03   0.00
  32   1     0.04   0.01  -0.05     0.09   0.02  -0.00    -0.01   0.05   0.19
  33   1     0.03  -0.03  -0.00     0.04  -0.00   0.01    -0.04   0.20   0.02
  34   1     0.02   0.03   0.00    -0.06  -0.10   0.04     0.02  -0.07  -0.02
  35   1     0.03   0.00  -0.00     0.00  -0.03   0.12    -0.01  -0.09  -0.04
  36   1    -0.00  -0.01   0.03     0.03   0.01  -0.02    -0.11  -0.06  -0.06
  37   1     0.01   0.02   0.04     0.03  -0.06  -0.05    -0.09  -0.05  -0.03
  38   1     0.03  -0.01   0.01     0.04   0.02  -0.03    -0.12   0.05  -0.04
  39   1     0.02  -0.02  -0.00     0.02  -0.02  -0.05    -0.12   0.07  -0.04
  40   1    -0.02   0.00   0.01     0.06  -0.02   0.08     0.11  -0.03   0.06
  41   1    -0.01  -0.03  -0.02     0.06   0.01   0.02     0.08   0.16   0.10
  42   1    -0.03  -0.01  -0.00     0.00  -0.07   0.03     0.11  -0.01   0.07
                     16                     17                     18
                        a                      a                      a 
 Frequencies --   228.6677               240.2998               252.8760
 Red. masses --     6.5443                 5.0567                 3.2087
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     2.8516                 1.7805                 0.1291
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   7     0.22   0.05  -0.04     0.14  -0.07  -0.03     0.01   0.03  -0.00
   2   6     0.11   0.03  -0.16     0.00  -0.05   0.10     0.04   0.02  -0.04
   3   6     0.16   0.04   0.09    -0.07   0.15   0.09     0.06  -0.03  -0.00
   4   6     0.17  -0.07   0.13    -0.17   0.13   0.05     0.13  -0.15   0.05
   5   6     0.06   0.01   0.04    -0.09  -0.17  -0.20    -0.04   0.15   0.02
   6   6     0.03  -0.04   0.00    -0.07   0.02  -0.07    -0.02   0.07  -0.10
   7   6    -0.03   0.05   0.05    -0.02   0.03  -0.00     0.02  -0.01  -0.02
   8   6    -0.10  -0.03   0.03     0.02   0.02  -0.01    -0.09  -0.09   0.09
   9   6    -0.10  -0.27  -0.19     0.04   0.11   0.11    -0.10  -0.10   0.06
  10   6    -0.25  -0.02   0.18     0.17   0.05  -0.09    -0.02   0.01  -0.01
  11   6     0.03   0.09  -0.01     0.08  -0.01   0.07    -0.02   0.00   0.07
  12   6     0.00   0.10   0.01     0.09  -0.07   0.04     0.13   0.08  -0.16
  13   6    -0.13   0.09  -0.05     0.05  -0.08   0.02    -0.07   0.01   0.03
  14  17    -0.11  -0.01  -0.04    -0.12  -0.03  -0.04     0.00   0.01   0.00
  15   1    -0.01  -0.03  -0.26    -0.06  -0.09  -0.39     0.00   0.02   0.01
  16   1    -0.13   0.06   0.20    -0.23  -0.01   0.27     0.01   0.01  -0.01
  17   1     0.31   0.02   0.06     0.41   0.04   0.06    -0.01   0.00  -0.00
  18   1    -0.06   0.02  -0.08    -0.02  -0.05   0.04     0.00   0.01  -0.02
  19   1     0.09  -0.03  -0.12    -0.00  -0.02   0.03     0.02   0.01  -0.02
  20   1     0.02   0.01   0.05     0.00   0.07   0.01     0.01   0.01   0.02
  21   1     0.05   0.01   0.01    -0.06   0.04   0.03     0.02  -0.01  -0.03
  22   1     0.03  -0.07   0.04    -0.05   0.07   0.03     0.01  -0.14   0.01
  23   1     0.09  -0.02   0.07    -0.10   0.03   0.01     0.12  -0.04   0.06
  24   1     0.01   0.00   0.03     0.01  -0.04  -0.18    -0.05   0.04   0.07
  25   1     0.01   0.02   0.01    -0.05  -0.17  -0.04    -0.02   0.11  -0.01
  26   1     0.02  -0.01  -0.03     0.00   0.00   0.03    -0.02   0.02  -0.06
  27   1     0.01  -0.04   0.01    -0.05   0.05  -0.03     0.00  -0.01  -0.02
  28   1    -0.01   0.01   0.05    -0.01   0.01   0.01     0.03  -0.00  -0.01
  29   1    -0.01   0.05   0.01     0.00   0.02  -0.00     0.03  -0.01  -0.00
